12;89;8;30;57;91
9;33;53;56;2;33
4;44;93;5;54;68
79;58;45;83;97;52
64;73;20;64;92;70
21;45;23;77;87;38
57;22;76;51;29;3
39;45;35;59;42;60
2;99;78;63;25;50
66;17;61;96;8;62
95;91;21;98;74;57
21;54;93;88;47;7
33;60;28;93;99;52
65;90;97;96;30;71
44;84;60;72;64;85
4;57;81;69;30;95
70;57;7;8;67;97
14;50;86;97;67;44
78;66;65;87;94;23
75;28;77;8;17;89
18;29;46;38;7;39
17;68;4;96;10;39
93;88;51;71;96;63
43;56;97;94;38;93
81;84;19;29;78;48
84;62;91;60;12;17
12;12;53;24;98;21
97;61;82;20;22;12
72;90;73;38;57;70
4;8;50;95;86;41
50;54;2;41;72;34
83;22;50;42;84;55
17;61;75;66;79;48
21;45;19;61;97;29
25;50;37;74;42;63
73;48;37;71;66;60
50;63;48;4;77;94
83;16;23;29;5;48
49;70;81;21;23;30
51;43;61;44;50;97
12;1;74;12;17;53
94;68;41;74;75;62
89;37;2;21;88;44
80;28;24;49;9;86
52;47;69;9;69;1
64;92;66;94;70;8
43;93;37;29;74;70
67;13;23;88;6;34
46;14;22;80;11;84
42;57;57;21;1;30
24;3;43;1;29;71
28;72;63;13;34;23
47;28;31;49;34;46
94;67;46;22;4;14
5;50;81;92;34;44
73;44;99;57;8;30
47;75;50;87;50;27
87;84;90;31;76;87
40;81;79;47;91;40
66;24;36;43;7;18
22;41;58;11;24;41
4;70;76;47;40;35
53;34;47;12;66;36
29;67;23;90;16;11
28;15;40;43;33;36
20;9;79;98;74;70
72;72;19;70;42;89
31;29;5;55;16;72
63;27;42;70;93;91
45;39;58;99;6;55
47;82;46;84;6;73
74;74;70;69;30;55
45;69;62;20;57;11
89;61;76;6;74;91
74;43;36;78;64;20
91;39;81;63;21;70
61;87;34;25;55;16
81;85;47;97;94;60
71;76;70;16;53;57
47;41;69;56;83;22
37;96;13;3;44;22
97;49;23;80;88;70
9;40;11;43;6;82
77;5;30;79;25;42
20;52;4;85;66;47
30;77;28;89;51;4
84;60;21;5;83;24
