38;17;64;38;64;17
23;23;85;85;85;43
54;97;80;71;71;86
38;38;81;81;71;81
45;84;35;84;92;45
42;78;63;42;42;18
58;94;94;56;94;58
52;19;23;19;23;52
41;14;36;11;67;39
90;52;90;93;22;90
66;20;93;93;20;20
77;79;80;55;16;86
26;75;38;38;74;47
66;92;59;39;59;39
94;85;96;30;96;30
67;79;15;35;35;54
31;72;37;85;52;91
57;37;37;24;24;57
84;98;90;90;84;90
85;46;91;36;36;50
96;96;73;85;61;87
70;91;70;54;70;21
47;18;47;12;12;18
65;64;64;65;64;86
13;55;57;25;46;63
60;29;60;89;29;89
10;99;57;88;57;10
32;32;93;89;89;89
89;36;89;34;43;86
79;83;83;83;29;79
37;42;49;37;42;49
40;40;40;29;10;48
99;48;99;48;95;95
10;55;41;84;77;98
64;82;34;30;30;34
39;18;18;84;84;39
23;58;81;23;81;83
25;28;81;28;81;81
24;39;39;70;30;39
95;95;95;89;90;90
60;32;98;32;14;29
96;96;38;38;63;63
99;86;99;66;66;86
67;22;44;43;15;46
96;96;63;52;63;27
18;17;17;18;96;96
55;89;75;81;75;75
50;64;78;78;13;78
88;63;52;50;10;25
15;19;64;64;51;51
48;79;64;86;81;69
26;26;47;93;35;26
37;43;33;15;33;33
38;87;25;87;38;87
47;73;96;22;80;65
17;13;35;17;36;36
99;93;99;41;93;93
34;30;90;99;52;52
40;16;16;16;48;48
80;40;22;80;40;40
77;59;34;10;57;57
12;12;41;57;41;57
47;72;63;71;63;26
51;81;81;56;51;56
65;37;60;65;94;35
28;50;73;99;84;99
49;49;72;52;52;72
61;10;48;48;99;61
76;63;58;91;46;16
87;65;33;26;26;35
49;37;73;36;99;24
39;90;84;84;32;90
11;11;56;42;16;41
56;56;83;59;56;83
75;59;34;32;38;71
91;26;90;91;91;26
58;58;83;15;58;94
48;32;82;34;18;81
46;62;64;62;64;15
71;23;12;51;12;19
69;41;57;29;25;11
98;98;51;98;86;51
57;49;57;57;20;49
96;44;97;97;96;44
98;54;67;54;41;54
56;56;20;51;77;77
18;56;18;29;56;29
13;88;95;52;13;13
39;14;39;46;14;46
21;29;29;86;34;47
10;10;20;20;29;29
23;54;72;72;72;54
89;29;89;25;44;29
95;85;85;71;71;99
55;47;43;47;72;55
21;91;11;11;91;21
83;16;48;83;84;77
94;94;90;86;90;86
87;45;87;76;60;76
99;29;20;29;20;79
69;55;62;38;10;64
84;31;94;31;94;84
32;12;82;33;60;45
53;82;49;44;44;44
75;14;69;75;94;10
77;14;95;90;32;77
86;42;86;14;21;42
79;29;11;29;11;79
49;26;96;26;32;13
23;97;23;77;97;97
73;36;73;89;73;51
49;77;20;20;49;85
63;53;38;38;15;63
73;97;77;94;94;97
25;48;47;25;48;47
75;57;26;58;57;75
42;92;99;38;28;20
54;22;31;74;45;22
46;46;46;28;28;80
88;88;27;27;95;88
25;68;47;42;25;25
16;37;65;61;12;12
56;40;65;56;49;56
61;38;38;47;87;38
58;58;91;58;85;28
43;10;56;60;32;20
32;31;38;38;32;31
28;80;84;92;80;80
25;25;39;25;20;26
