84;118;114;91;31;104;;;;;;;;;;;;
88;116;18;19;122;5;;;;;;;;;;;;
149;17;104;143;52;148;;;;;;;;;;;;
148;32;72;56;125;87;;;;;;;;;;;;
143;5;105;5;98;71;;;;;;;;;;;;
101;149;19;133;87;68;;;;;;;;;;;;
97;149;56;65;17;126;;;;;;;;;;;;
38;51;54;85;149;12;;;;;;;;;;;;
72;70;87;59;47;14;;;;;;;;;;;;
102;141;11;82;52;45;;;;;;;;;;;;
89;113;141;135;19;90;;;;;;;;;;;;
31;54;116;27;11;112;;;;;;;;;;;;
90;47;35;142;92;61;;;;;;;;;;;;
133;150;56;8;123;60;;;;;;;;;;;;
48;123;124;103;137;24;;;;;;;;;;;;
104;12;93;61;146;61;;;;;;;;;;;;
147;106;80;109;20;84;;;;;;;;;;;;
36;81;1;26;110;85;;;;;;;;;;;;
19;86;35;89;13;3;;;;;;;;;;;;
6;70;11;42;59;9;;;;;;;;;;;;
44;98;115;91;76;25;;;;;;;;;;;;
91;84;96;118;33;46;;;;;;;;;;;;
12;74;27;43;12;80;;;;;;;;;;;;
36;66;73;48;15;101;;;;;;;;;;;;
50;75;112;62;12;56;;;;;;;;;;;;
127;37;44;108;45;1;;;;;;;;;;;;
145;105;59;74;16;49;;;;;;;;;;;;
5;138;44;5;135;40;;;;;;;;;;;;
119;123;33;144;85;59;;;;;;;;;;;;
46;121;53;137;69;80;;;;;;;;;;;;
149;119;131;59;129;26;;;;;;;;;;;;
149;109;5;84;12;90;;;;;;;;;;;;
1;80;44;11;9;147;;;;;;;;;;;;
135;121;36;130;4;104;;;;;;;;;;;;
84;49;120;78;126;53;;;;;;;;;;;;
139;20;136;29;3;92;;;;;;;;;;;;
9;95;102;79;21;66;;;;;;;;;;;;
23;79;17;60;7;123;;;;;;;;;;;;
113;114;97;50;150;47;;;;;;;;;;;;
149;34;85;88;36;95;;;;;;;;;;;;
89;112;107;82;52;39;;;;;;;;;;;;
142;38;38;134;119;121;;;;;;;;;;;;
10;72;87;84;110;11;;;;;;;;;;;;
131;97;120;12;43;148;;;;;;;;;;;;
144;133;82;108;42;149;;;;;;;;;;;;
105;104;86;76;9;140;;;;;;;;;;;;
64;118;111;49;135;36;;;;;;;;;;;;
90;102;143;105;71;27;;;;;;;;;;;;
101;142;35;101;128;107;;;;;;;;;;;;
141;134;139;83;25;114;;;;;;;;;;;;
19;147;77;68;84;65;;;;;;;;;;;;
97;15;138;105;9;106;;;;;;;;;;;;
75;54;139;63;76;40;;;;;;;;;;;;
4;72;122;113;126;73;;;;;;;;;;;;
39;9;102;48;80;64;;;;;;;;;;;;
145;75;144;108;3;102;;;;;;;;;;;;
51;6;4;86;117;150;;;;;;;;;;;;
23;112;88;60;73;24;;;;;;;;;;;;
12;20;100;131;117;28;;;;;;;;;;;;
142;129;91;22;117;108;;;;;;;;;;;;
25;103;62;56;70;32;;;;;;;;;;;;
134;110;23;68;109;101;;;;;;;;;;;;
149;123;100;125;145;3;;;;;;;;;;;;
51;96;130;24;144;135;;;;;;;;;;;;
143;140;3;29;115;84;;;;;;;;;;;;
124;73;63;16;43;88;;;;;;;;;;;;
113;129;4;81;52;31;;;;;;;;;;;;
136;20;50;88;143;51;;;;;;;;;;;;
43;20;142;78;99;99;;;;;;;;;;;;
111;139;92;143;96;106;;;;;;;;;;;;
63;145;83;59;16;46;;;;;;;;;;;;
47;35;80;24;17;99;;;;;;;;;;;;
62;118;135;65;125;63;;;;;;;;;;;;
123;130;62;93;27;101;;;;;;;;;;;;
3;122;130;132;118;148;;;;;;;;;;;;
98;62;135;88;137;92;;;;;;;;;;;;
55;98;70;88;23;3;;;;;;;;;;;;
118;150;135;35;55;24;;;;;;;;;;;;
123;102;25;142;127;42;;;;;;;;;;;;
135;111;10;68;17;102;;;;;;;;;;;;
21;82;46;20;78;12;;;;;;;;;;;;
86;122;76;26;120;63;;;;;;;;;;;;
110;137;34;62;112;29;;;;;;;;;;;;
100;84;59;150;150;69;;;;;;;;;;;;
89;117;145;126;108;41;;;;;;;;;;;;
104;50;42;114;104;24;;;;;;;;;;;;
13;39;6;62;78;98;;;;;;;;;;;;
29;43;133;142;127;125;;;;;;;;;;;;
134;17;82;89;82;141;;;;;;;;;;;;
46;70;2;44;88;6;;;;;;;;;;;;
90;98;96;24;140;4;;;;;;;;;;;;
63;53;26;34;98;78;;;;;;;;;;;;
11;22;106;96;63;10;;;;;;;;;;;;
35;78;10;122;9;66;;;;;;;;;;;;
80;25;113;78;118;4;;;;;;;;;;;;
118;44;51;73;31;74;;;;;;;;;;;;
63;56;22;61;24;117;;;;;;;;;;;;
51;66;21;103;150;20;;;;;;;;;;;;
69;114;148;88;74;15;;;;;;;;;;;;
71;95;41;146;41;81;;;;;;;;;;;;
54;22;77;20;144;128;;;;;;;;;;;;
35;115;139;15;121;48;;;;;;;;;;;;
8;54;24;90;19;2;;;;;;;;;;;;
145;83;135;3;114;18;;;;;;;;;;;;
52;77;137;93;148;57;;;;;;;;;;;;
109;47;90;145;83;33;;;;;;;;;;;;
15;147;90;115;95;125;;;;;;;;;;;;
42;145;57;31;87;46;;;;;;;;;;;;
100;91;129;88;10;1;;;;;;;;;;;;
119;92;82;97;113;67;;;;;;;;;;;;
99;148;50;137;136;20;;;;;;;;;;;;
95;125;8;135;145;102;;;;;;;;;;;;
14;73;111;47;40;96;;;;;;;;;;;;
112;125;51;48;144;133;;;;;;;;;;;;
17;123;124;100;113;4;;;;;;;;;;;;
120;140;150;107;85;9;;;;;;;;;;;;
14;38;17;14;126;70;;;;;;;;;;;;
86;134;147;132;64;23;;;;;;;;;;;;
12;136;141;45;99;92;;;;;;;;;;;;
51;77;127;48;141;18;;;;;;;;;;;;
38;6;40;41;132;29;;;;;;;;;;;;
56;124;10;81;56;66;;;;;;;;;;;;
107;81;109;142;89;89;;;;;;;;;;;;
103;53;56;142;16;32;;;;;;;;;;;;
113;5;137;39;23;107;;;;;;;;;;;;
1;129;133;147;119;123;;;;;;;;;;;;
27;83;63;116;81;22;;;;;;;;;;;;
17;29;88;150;134;24;;;;;;;;;;;;
102;80;7;134;29;124;;;;;;;;;;;;
131;64;46;8;72;98;;;;;;;;;;;;
60;92;23;53;30;46;;;;;;;;;;;;
70;122;90;45;102;50;;;;;;;;;;;;
34;15;105;70;96;139;;;;;;;;;;;;
128;37;55;84;105;1;;;;;;;;;;;;
102;131;25;11;40;20;;;;;;;;;;;;
50;9;4;137;26;102;;;;;;;;;;;;
46;122;88;142;95;78;;;;;;;;;;;;
64;100;24;93;84;137;;;;;;;;;;;;
88;101;14;123;8;7;;;;;;;;;;;;
82;101;95;98;116;126;;;;;;;;;;;;
28;38;119;11;123;135;;;;;;;;;;;;
10;142;140;104;144;61;;;;;;;;;;;;
74;92;63;35;5;143;;;;;;;;;;;;
58;56;133;20;95;34;;;;;;;;;;;;
132;42;147;83;41;103;;;;;;;;;;;;
125;95;107;36;23;60;;;;;;;;;;;;
