52;75;88;71;98
78;92;33;16;83
87;83;97;93;12
28;30;32;17;34
97;90;49;36;15
57;32;25;56;15
61;23;71;50;61
34;42;98;30;30
25;87;96;59;22
36;63;42;90;99
66;95;56;49;32
61;36;62;65;51
55;77;77;11;32
73;21;56;42;78
86;32;12;86;19
19;93;90;23;79
93;89;34;57;48
66;67;32;28;99
97;80;42;78;75
47;20;95;37;49
25;16;10;22;23
44;92;69;40;22
67;46;48;86;57
66;52;30;63;65
15;89;38;42;80
15;90;34;21;71
99;98;63;73;63
87;89;22;44;13
73;98;91;15;42
61;41;56;31;18
95;89;42;71;43
35;78;67;42;17
54;68;57;69;22
69;82;74;32;70
77;39;86;59;92
17;97;32;10;28
73;43;13;12;75
19;66;91;40;38
19;31;80;36;59
14;51;32;92;72
78;67;33;60;41
65;13;82;78;36
37;55;67;23;43
20;65;54;94;12
12;90;44;94;61
55;59;59;99;87
66;75;39;37;49
16;19;52;70;19
16;83;23;13;10
63;64;67;92;49
49;96;37;89;70
88;32;39;99;86
16;53;83;91;70
61;25;39;73;36
10;23;83;84;96
29;77;40;93;97
91;92;66;59;48
69;47;49;67;61
84;80;52;84;13
63;99;32;43;48
47;34;93;66;49
36;22;53;93;50
20;91;46;12;94
24;86;34;52;10
24;76;72;21;52
30;70;99;81;43
29;55;97;55;59
67;98;10;19;22
57;94;56;26;51
92;43;50;90;89
76;75;79;42;34
71;62;81;23;29
65;23;72;60;30
65;94;91;52;37
25;86;24;40;53
29;30;55;70;60
86;30;18;91;66
54;75;64;30;88
14;27;87;90;56
43;31;95;96;86
97;52;97;63;74
89;61;48;89;14
51;16;20;63;42
45;14;80;93;76
89;40;70;64;32
97;99;33;84;19
98;34;58;84;62
43;32;55;27;76
93;36;74;26;46
97;16;33;57;20
39;50;12;30;97
66;82;42;40;76
90;37;64;80;16
27;58;36;10;99
22;59;63;26;82
62;66;54;28;34
91;75;76;73;80
57;32;38;87;96
61;89;24;51;86
66;72;94;19;29
49;79;33;58;97
79;87;85;47;44
10;38;24;16;84
25;61;91;99;58
94;29;49;14;48
33;44;21;40;26
89;71;44;99;84
21;51;27;75;10
69;46;90;52;95
33;75;18;66;70
15;81;94;60;34
30;40;29;20;74
45;76;55;31;55
38;93;25;31;72
74;43;25;99;89
58;38;96;18;25
57;35;54;69;21
18;77;83;74;64
81;31;17;10;64
93;91;69;97;66
39;59;86;93;96
71;65;94;71;76
